name,location,manufacturer,productCategory,distributor,currentPrice,tickerSymbol
Atlas Lifetime Pro 30-Year Architectural Shingle Charcoal,DFW,Atlas,Shingle,ABCSupply,125.50,ATLS-001
GAF Timberline HD Charcoal,DFW,GAF,Shingle,Beacon,118.75,GAF-THD
Malarky Windsor Storm 30-Year,DFW,Malarky,Shingle,SRSProducts,132.25,MLK-WS30
Owens Corning Duration Storm 30-Year Driftwood,DFW,Owens Corning,Shingle,ABCSupply,128.90,OC-DS30
IKO Cambridge Dual Black,DFW,IKO,Shingle,Beacon,115.00,IKO-CDB
GAF Tiger Paw Synthetic Underlayment,DFW,GAF,Underlayment,ABCSupply,89.99,GAF-TPSU
Atlas Pro-Cut Hip & Ridge Shingles,DFW,Atlas,Accessory,SRSProducts,67.50,ATLS-PCH
Malarky Legacy Slate 50-Year Warranty,ATX,Malarky,Shingle,Beacon,145.75,MLK-LS50
GAF Timberline UHD Weathered Wood,ATX,GAF,Shingle,ABCSupply,122.00,GAF-TUHD
Owens Corning TruDefinition Duration Estate Gray,ATX,Owens Corning,Shingle,SRSProducts,135.25,OC-TDEG
Atlas StormMaster Slate 30-Year,ATX,Atlas,Shingle,Beacon,139.50,ATLS-SMS30
IKO Marathon 25-Year Brownstone,ATX,IKO,Shingle,ABCSupply,108.75,IKO-M25B
Other Ice & Water Shield 36in,ATX,Other,Underlayment,SRSProducts,95.00,OTH-IWS36
Atlas Pro-Cut Hip & Ridge Weathered Wood,ATX,Atlas,Accessory,Beacon,69.25,ATLS-PCHW
GAF Cobra Ridge Vent 12ft,ATX,GAF,Ventilation,ABCSupply,45.50,GAF-CRV12
Malarky Windsor Storm Estate Gray,HOU,Malarky,Shingle,SRSProducts,134.00,MLK-WSEG
GAF Timberline AS Weathered Wood,HOU,GAF,Shingle,Beacon,116.25,GAF-TASWW
Owens Corning Duration Onyx Black,HOU,Owens Corning,Shingle,ABCSupply,131.75,OC-DOB
Atlas Pinnacle Pristine Hunter Green,HOU,Atlas,Shingle,SRSProducts,142.50,ATLS-PPH
IKO Nordic 30-Year Glacier,HOU,IKO,Shingle,Beacon,119.00,IKO-N30G
